ad_id,list_id,area,area_name,ward,ward_name,street_name,company_ad,apartment_type,size,rooms,toilets,longitude,latitude,owner,deposit,price_million_per_m2,price
155094011,114294787,119,Thành phố Thủ Đức,11221.0,Phường An Khánh (Quận 2 cũ),Trần Não,True,"Căn hộ dịch vụ, mini",30.0,1,1.0,106.7304,10.7929,False,0.0,0.216666666666666,6500000.0
154943228,114163716,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Đường An Phú,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.7512,10.8073,False,0.0,0.25,10000000.0
154792197,114032647,119,Thành phố Thủ Đức,11221.0,Phường An Khánh (Quận 2 cũ),Trần Não,True,"Căn hộ dịch vụ, mini",25.0,1,1.0,106.7304,10.7929,False,0.0,0.24,6000000.0
152808559,112328722,109,Quận Bình Thạnh,9284.0,Phường 25,D2,False,Chung cư,110.0,3,2.0,106.716,10.8059,False,0.0,0.13636363636363602,15000000.0
154792211,114032660,112,Quận Tân Bình,9301.0,Phường 12,Cộng Hòa,False,Chung cư,74.0,2,2.0,106.6523,10.803,False,0.0,0.162162162162162,12000000.0
154943281,114163738,110,Quận Gò Vấp,9278.0,Phường 3,Trương Đăng Quế,True,Chung cư,78.0,2,2.0,106.6824,10.8138,False,0.0,0.16666666666666602,13000000.0
153265608,112721947,102,Quận 7,9467.0,Phường Tân Thuận Tây,Nguyễn Văn Linh,True,Chung cư,95.0,3,2.0,106.7236,10.7508,False,0.0,0.163157894736842,15500000.0
154792224,114032670,111,Quận Phú Nhuận,9328.0,Phường 7,Phùng Văn Cung,True,"Căn hộ dịch vụ, mini",28.0,1,1.0,106.6849,10.8011,False,0.0,0.232142857142857,6500000.0
154943284,114163743,106,Quận 11,9380.0,Phường 15,Lý Thường Kiệt,True,Chung cư,90.0,3,2.0,106.6558,10.7776,False,0.0,0.15,13500000.0
154943287,114163746,112,Quận Tân Bình,9313.0,Phường 15,Cộng Hòa,True,"Căn hộ dịch vụ, mini",25.0,1,1.0,106.6364,10.8056,False,0.0,0.14800000000000002,3700000.0
